证券代码,证券简称,公司全称,上市日期
600520,文一科技,文一三佳科技股份有限公司,2002-01-08
600521,华海药业,浙江华海药业股份有限公司,2003-03-04
600522,中天科技,江苏中天科技股份有限公司,2002-10-24
600523,贵航股份,贵州贵航汽车零部件股份有限公司,2001-12-27
600525,长园集团,长园科技集团股份有限公司,2002-12-02
600526,菲达环保,浙江菲达环保科技股份有限公司,2002-07-22
600527,江南高纤,江苏江南高纤股份有限公司,2003-11-27
600528,中铁工业,中铁高新工业股份有限公司,2001-05-28
600529,山东药玻,山东省药用玻璃股份有限公司,2002-06-03
600530,交大昂立,上海交大昂立股份有限公司,2001-07-02
600531,豫光金铅,河南豫光金铅股份有限公司,2002-07-30
600532,退市未来,上海智汇未来医疗服务股份有限公司,2002-10-31
600533,栖霞建设,南京栖霞建设股份有限公司,2002-03-28
600535,天士力,天士力医药集团股份有限公司,2002-08-23
600536,中国软件,中国软件与技术服务股份有限公司,2002-05-17
600537,亿晶光电,亿晶光电科技股份有限公司,2003-01-23
600538,国发股份,北海国发川山生物股份有限公司,2003-01-14
600539,狮头股份,狮头科技发展股份有限公司,2001-08-24
600540,新赛股份,新疆赛里木现代农业股份有限公司,2004-01-07
600543,*ST莫高,甘肃莫高实业发展股份有限公司,2004-03-24
600545,卓郎智能,卓郎智能技术股份有限公司,2003-12-03
600546,山煤国际,山煤国际能源集团股份有限公司,2003-07-31
600547,山东黄金,山东黄金矿业股份有限公司,2003-08-28
600548,深高速,深圳高速公路集团股份有限公司,2001-12-25
600549,厦门钨业,厦门钨业股份有限公司,2002-11-07
600550,保变电气,保定天威保变电气股份有限公司,2001-02-28
600551,时代出版,时代出版传媒股份有限公司,2002-09-05
600552,凯盛科技,凯盛科技股份有限公司,2002-11-08
600556,天下秀,天下秀数字科技(集团)股份有限公司,2001-08-07
600557,康缘药业,江苏康缘药业股份有限公司,2002-09-18
600558,大西洋,四川大西洋焊接材料股份有限公司,2001-02-27
600559,老白干酒,河北衡水老白干酒业股份有限公司,2002-10-29
600560,金自天正,北京金自天正智能控制股份有限公司,2002-09-19
600561,江西长运,江西长运股份有限公司,2002-07-16
600562,国睿科技,国睿科技股份有限公司,2003-01-28
600563,法拉电子,厦门法拉电子股份有限公司,2002-12-10
600565,迪马股份,重庆市迪马实业股份有限公司,2002-07-23
600566,济川药业,湖北济川药业股份有限公司,2001-08-22
600567,山鹰国际,山鹰国际控股股份公司,2001-12-18
600568,ST中珠,中珠医疗控股股份有限公司,2001-05-18
600569,安阳钢铁,安阳钢铁股份有限公司,2001-08-20
600570,恒生电子,恒生电子股份有限公司,2003-12-16
600571,信雅达,信雅达科技股份有限公司,2002-11-01
600572,康恩贝,浙江康恩贝制药股份有限公司,2004-04-12
600573,惠泉啤酒,福建省燕京惠泉啤酒股份有限公司,2003-02-26
600575,淮河能源,淮河能源(集团)股份有限公司,2003-03-28
600576,祥源文旅,浙江祥源文旅股份有限公司,2003-02-20
600577,精达股份,铜陵精达特种电磁线股份有限公司,2002-09-11
600578,京能电力,北京京能电力股份有限公司,2002-05-10
600579,克劳斯,克劳斯玛菲股份有限公司,2002-08-09
600580,卧龙电驱,卧龙电气驱动集团股份有限公司,2002-06-06
600581,八一钢铁,新疆八一钢铁股份有限公司,2002-08-16
600582,天地科技,天地科技股份有限公司,2002-05-15
600583,海油工程,海洋石油工程股份有限公司,2002-02-05
600584,长电科技,江苏长电科技股份有限公司,2003-06-03
